,PET,PLA,PP,PA,PE,PES,other,PBT,TPX,PHB,TPE
0,COPET GP001-EASTMAN,PLA 6100D NATUREWORKS,PP HS61R,PA B33L,PA6 PENTABATC,PES + 1% BB101 R4.47,SPH16,PBT + 15% SPH16W,TPX,PHB 2450 mod,TPE + 10% Plastificante
1,PET + 3% Antivirico SUKANO,PLA LUMINY L130,PP 561R,PA6 H24,PEF 75:25 (0560:0491),PES + MNV,LOWMELT 53001,PBT + 3% Octil,TPX DX350,PHB 2450 mod Blanco 2%,TPE Producción
2,PET + 1% Bactiblock 101 R4.47,PLA L130,PP H561R,PA6 B27,PE PURELL GA7760 + 4% Aditivo,PES SEMI-MAT,ADUANITE S3001,PBT + 15% MB,TPX DX350 0.5% Blanco,PHB 2450 mod Azul 2%,
3,rPET + CO2 Pure,PLA + 0.1 Silano,PP + 10% Talco,PA H24,LLDPE ASPUN (RESINEX),PES GRAFENO 5000 ppm,100%MB SP16H,,TPX DX350 0.66% Negro,PHB DANIMER,
4,PET + Avanza O 0.3.%,PLA,PP + Talco + Verde,PA + CNT PA Nanocyl PA (H24),PE ASPUN,PES GRAFENO 10000 ppm,TCP - ET,,TPX 350,PHB DAN 04493,
5,rPET + CO2 Pure 3%,PLA + CaCO3,Pruebas PP Amarilleamiento,PA,,,TPC - ET LG,,TPX + Negro,,
6,rPET + CO2 Pure 2.5%,,PP + Talco + Rojo,,,,ZK6HF ,,,,
7,PET + 15% SPH16,,PP + FR,,,,ZK5HF PMMA,,,,
8,PET + 3% Zeol Ag,,PP + 07%Amarillo + 2%UV 792930,,,,ZK6HF PMMA,,,,
9,rPET,,PP + 07%Amarillo + 2%UV 792930 + 4%FR LXR935,,,,100% NEGOMBO SIN COLOR,,,,
10,rPET 2% HIPS,,PP + 07%Rojo + 2%UV 792930,,,,BATCH 2,,,,
11,rPET 0.5% HIPS,,PP + 07%Rojo + 2%UV 792930 + 4% FR LXR935,,,,PS 454N,,,,
12,rPET + PTT,,,,,,ADVANITE 53001,,,,
13,rPET tejidos + rPET,,,,,,ABS H380,,,,
14,A + rPET,,,,,,PBS,,,,
15,rPET DEC + rPET (50%/50%),,,,,,Reclado químico VELOR,,,,
16,rPET + 2% Amarillo,,,,,,SABIC M200024,,,,
17,rPET Batch 1,,,,,,SABIC M200056,,,,
18,rPET DECATHLON,,,,,,MP1925 + 0.3 TiO2,,,,
19,rPET 50/50,,,,,,,,,,
20,PET + PEF,,,,,,,,,,
21,30/70 (Color/rPET),,,,,,,,,,
22,NEGOMBO WHITE 30% + rPET 70%,,,,,,,,,,
23,NEGOMBO BLACK 30% + rPET 70%,,,,,,,,,,
24,rPET 30/70,,,,,,,,,,
25,COPET,,,,,,,,,,
26,rPET BATCH 1,,,,,,,,,,
27,rPET BATCH 2,,,,,,,,,,
28,rPET BATCH 3,,,,,,,,,,
